title  Photometry data for APASS_J200615.5+442725 from search centered on 20_06_15.5_+44_27_24.6 using the apass calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
APASS_J200615.5+442725	2415125.839409	1900.288601	12.65	 0.21	14.12	301.56462	 44.45702	 -7.5	0.091	i25181	152	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2415150.785754	1900.356947	12.42	 0.14	14.40	301.56447	 44.45755	-29.5	0.165	i25327	151	128	1349453824	528	0.000700	7	11,16,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2415289.632357	1900.737349	12.21	 0.14	13.60	301.56512	 44.45727	-87.6	0.533	i25882	151	128	1349453824	529	0.000700	7	11,16,17,18,19,21,22,28,30	0,4,9
APASS_J200615.5+442725	2415296.559783	1900.756328	12.29	 0.06	14.61	301.56478	 44.45716	 31.6	0.145	a04773	151	0	1349453824	512	0.007500		11,16,17,18,19,21,22,28,30	9
APASS_J200615.5+442725	2415312.554853	1900.800150	12.37	 0.11	12.73	301.56465	 44.45722	 68.8	0.523	i25952	151	8320	1349388288	529	0.000700	7,13	11,17,18,19,21,22,28,30	0,4,9
APASS_J200615.5+442725	2415326.561023	1900.838523	12.36	 0.08	14.32	301.56480	 44.45732	-85.1	0.557	i26005	152	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2415334.593519	1900.860530	12.23	 0.11	13.63	301.56502	 44.45730	 66.9	0.598	i26024	152	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2415371.534136	1900.961737	12.62	 0.15	13.08	301.56825	 44.45820	 69.5	0.228	ac01064	151	8192	1349386242	384	0.000700	13	1,17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2415435.903616	1901.138092	12.33	 0.21	12.83	301.56371	 44.45660	-68.8	0.367	ac01268	151	33562624	1349388288	256	0.000700	13,25	11,17,18,19,21,22,28,30	8
APASS_J200615.5+442725	2415613.687157	1901.625170	12.27	 0.08	14.85	301.56479	 44.45713	-89.6	0.179	i27325	152	128	1349453824	529	0.000700	7	11,16,17,18,19,21,22,28,30	0,4,9
