title  Photometry data for N0302221335 from search centered on 20_06_15.4553_+44_27_24.793 using the gsc2.3.2 calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
N0302221335	2414478.831631	1898.515977	12.20	 0.25	12.54	301.56468	 44.45714	-64.7	0.288	i20994	97	8320	1349410816	0	0.000700	7,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414553.732068	1898.721184	12.31	 1.12	12.63	301.56500	 44.45654	 28.7	0.049	ac00044	166	12288	1349410816	0	0.000700	12,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414560.540305	1898.739836	12.14	 0.27	13.31	301.56466	 44.45718	 87.0	0.440	i21242	97	0	1349478400	0	0.000700		11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414566.653222	1898.756584	12.50	 0.34	13.64	301.56356	 44.45653	-84.3	0.137	i21320	97	128	1349476354	0	0.000700	7	1,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414755.850476	1899.274933	12.48	 2.29	12.52	301.56250	 44.45579	 43.0	0.517	ac00280	108	12288	1349410816	0	0.000700	12,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414768.841839	1899.310526	12.30	 0.31	15.29	301.56476	 44.45724	 78.9	0.179	i22770	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414773.814902	1899.324150	12.01	 0.28	12.62	301.56719	 44.45598	 66.0	0.506	ac00312	98	0	1349476352	0	0.000700		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414781.822853	1899.346090	12.49	 0.63	12.82	301.56101	 44.45436	 22.8	0.299	ac00316	108	8396800	1349410816	0	0.000700	13,23	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414798.797986	1899.392597	12.27	 0.28	14.58	301.56495	 44.45712	 85.6	0.192	i22898	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414809.664199	1899.422368	12.32	 0.30	14.53	301.56490	 44.45721	-37.4	0.161	i22981	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414809.706793	1899.422484	12.33	 0.30	13.37	301.56455	 44.45725	-55.0	0.326	i22982	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414809.820029	1899.422795	12.27	 0.27	14.90	301.56509	 44.45725	 53.3	0.317	i22986	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414809.838037	1899.422844	12.00	 0.31	12.55	301.56515	 44.45712	 62.7	0.375	i22987	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.584615	1899.435848	12.58	 0.32	13.48	301.56382	 44.45773	-73.4	0.322	i22995	97	128	1349476354	0	0.000700	7	1,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.593963	1899.435874	12.05	 0.39	12.57	301.56567	 44.45743	-79.5	0.334	i22996	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.604007	1899.435901	12.24	 0.28	13.82	301.56522	 44.45728	  5.1	0.202	i22997	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.614049	1899.435929	12.36	 0.38	13.40	301.56343	 44.45738	  3.8	0.321	i22998	97	128	1349478402	0	0.000700	7	1,11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.621667	1899.435950	12.20	 0.27	13.65	301.56479	 44.45655	 37.1	0.421	i22999	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.632402	1899.435979	12.68	 0.29	12.82	301.56653	 44.45762	-45.5	0.222	i23000	97	10494080	1349410818	0	0.000700	7,13,21,23	1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.690232	1899.436138	12.39	 0.29	13.99	301.56488	 44.45755	 16.5	0.361	i23003	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.758451	1899.436325	12.18	 0.22	14.38	301.56501	 44.45734	 17.2	0.268	i23008	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414814.827016	1899.436512	12.25	 0.32	14.49	301.56497	 44.45741	 44.7	0.145	i23010	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414823.713106	1899.460858	12.13	 0.74	12.47	301.56441	 44.45693	-42.0	0.020	i23044	97	8320	1349410816	0	0.000700	7,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414825.744425	1899.466423	12.09	 0.21	14.24	301.56485	 44.45707	 -0.9	0.325	i23061	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414832.644525	1899.485327	12.07	 1.72	13.17	301.56472	 44.45668	 33.0	0.326	i23080	115	268474496	1080713216	0	0.000700	7,11,12,15,28	13,14,17,19,21,22,30	UNINIT
N0302221335	2414832.722092	1899.485540	12.47	 2.39	12.55	301.56698	 44.45627	 69.0	0.608	i23081	97	276871296	1080713219	0	0.000700	7,11,12,13,15,23,28	0,1,13,14,17,19,21,22,30	UNINIT
N0302221335	2414832.756721	1899.485635	12.42	99.00	13.58	301.56465	 44.45710	 63.2	0.199	i23082	97	4224	1349476352	0	0.000700	7,12	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414832.793428	1899.485735	12.44	 1.41	13.43	301.56459	 44.45766	 89.2	0.126	i23083	97	268474496	1080713216	0	0.000700	7,11,12,15,28	13,14,17,19,21,22,30	UNINIT
N0302221335	2414832.819052	1899.485806	11.92	 0.22	13.51	301.56499	 44.45708	 36.0	0.284	i23084	97	128	1349478403	0	0.000700	7	0,1,11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414833.755409	1899.488371	12.15	 0.67	12.52	301.56381	 44.45640	 23.0	0.182	ac00354	108	8320	1349410816	0	0.000700	7,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414837.599173	1899.498902	12.44	99.00	13.59	301.56529	 44.45743	  7.5	0.372	i23108	97	16783488	1349410816	0	0.000700	7,11,12,24	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414846.768766	1899.524024	12.30	 0.21	14.71	301.56475	 44.45700	 76.3	0.096	i23144	103	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414847.719658	1899.526629	12.26	 0.34	14.07	301.56518	 44.45701	-54.0	0.477	i23150	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414910.548752	1899.698764	12.61	 0.38	13.52	301.56628	 44.45826	 38.2	0.100	i23461	103	41943168	1349410819	0	0.000700	7,23,25	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414965.547511	1899.849445	12.34	 2.36	12.38	301.56841	 44.45200	-25.5	0.446	ac00502	108	41955328	1349410816	0	0.000700	12,13,23,25	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2415089.917837	1900.190186	12.39	99.00	12.55	301.56479	 44.45580	 78.3	0.570	i24755	97	33566848	1349410818	0	0.000700	7,12,13,25	1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2415113.864784	1900.255794	12.24	 0.31	14.93	301.56490	 44.45728	-23.6	0.236	i25022	103	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2415125.839409	1900.288601	12.56	 0.37	13.91	301.56466	 44.45695	 -7.5	0.091	i25181	97	0	1349476352	0	0.000700		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2415150.785754	1900.356947	12.58	 0.24	13.54	301.56460	 44.45746	-29.5	0.165	i25327	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2415289.632357	1900.737349	12.26	 0.34	13.41	301.56505	 44.45729	-87.6	0.533	i25882	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2415296.559783	1900.756328	12.49	 0.26	13.44	301.56484	 44.45715	 31.6	0.145	a04773	97	0	1349476352	0	0.007500		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2415312.554853	1900.800150	12.37	 0.25	13.89	301.56460	 44.45722	 68.8	0.523	i25952	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2415326.561023	1900.838523	12.40	 0.27	14.22	301.56481	 44.45732	-85.1	0.557	i26005	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2415334.621219	1900.860606	12.30	 0.21	12.62	301.56495	 44.45738	 66.9	0.598	i26024	97	8320	1349412864	0	0.000700	7,13	11,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2415371.534136	1900.961737	12.53	 0.41	12.81	301.56834	 44.45802	 69.5	0.228	ac01064	108	8192	1349410818	0	0.000700	13	1,13,14,17,18,19,21,22,28,30	UNINIT
